"IID1"	"IID2"	"PI_HAT"
"BadSample_12"	"HG00176"	0.2404
"BadSample_12"	"HG00177"	0.2394
"BadSample_12"	"HG00178"	0.2343
"BadSample_12"	"HG00179"	0.2308
"BadSample_12"	"HG00180"	0.2363
"BadSample_12"	"HG00181"	0.2416
"BadSample_12"	"HG00182"	0.2343
"BadSample_12"	"HG00183"	0.2304
"BadSample_12"	"HG00185"	0.231
"BadSample_12"	"HG00186"	0.2257
"BadSample_12"	"HG00187"	0.2313
"BadSample_12"	"HG00188"	0.2347
"BadSample_12"	"HG00189"	0.2421
"BadSample_12"	"HG00190"	0.2376
"BadSample_12"	"HG00231"	0.2385
"BadSample_12"	"HG00232"	0.2458
"BadSample_12"	"HG00233"	0.2452
"BadSample_12"	"HG00234"	0.2315
"BadSample_12"	"HG00235"	0.2443
"BadSample_12"	"HG00236"	0.2319
"BadSample_12"	"HG00237"	0.2382
"BadSample_12"	"HG00238"	0.2413
"BadSample_12"	"HG00239"	0.2378
"BadSample_12"	"HG00240"	0.2413
"BadSample_12"	"HG00242"	0.2396
"BadSample_12"	"HG00243"	0.2447
"BadSample_12"	"HG00244"	0.2484
"BadSample_12"	"HG00245"	0.2385
"BadSample_12"	"HG00246"	0.2414
"BadSample_12"	"HG00250"	0.2485
"BadSample_12"	"HG00251"	0.2407
"BadSample_12"	"HG00252"	0.2442
"BadSample_12"	"HG00253"	0.2436
"BadSample_12"	"HG00254"	0.2461
"BadSample_12"	"HG00255"	0.2443
"BadSample_12"	"HG00256"	0.2493
"BadSample_12"	"HG00257"	0.2468
"BadSample_12"	"HG00258"	0.2391
"BadSample_12"	"HG00259"	0.2498
"BadSample_12"	"HG00260"	0.2408
"BadSample_12"	"HG00261"	0.2364
"BadSample_12"	"HG00262"	0.2384
"BadSample_12"	"HG00263"	0.2489
"BadSample_12"	"HG00264"	0.2317
"BadSample_12"	"HG00265"	0.2512
"BadSample_12"	"HG00266"	0.2309
"BadSample_12"	"HG00267"	0.2363
